source,target,relationship
ww3_cpl_indices.f90,u10,contains
ww3_cpl_indices.f90,v10,contains
ww3_cpl_indices.f90,T10m,contains
ww3_cpl_indices.f90,fice,contains
ww3_cpl_indices.f90,hice,contains
ww3_cpl_indices.f90,Tsurf,contains
ww3_cpl_indices.f90,uwsurf,contains
ww3_cpl_indices.f90,vwsurf,contains
ww3_cpl_indices.f90,zbl,contains
ww3_cpl_indices.f90,eta,contains
ww3_cpl_indices.f90,Hs,contains
ww3_cpl_indices.f90,fp,contains
ww3_cpl_indices.f90,dp,contains
ww3_cpl_indices.f90,ku1,contains
ww3_cpl_indices.f90,kv1,contains
ww3_cpl_indices.f90,ku2,contains
ww3_cpl_indices.f90,kv2,contains
ww3_cpl_indices.f90,ku3,contains
ww3_cpl_indices.f90,kv3,contains
ww3_cpl_indices.f90,ku4,contains
ww3_cpl_indices.f90,kv4,contains
ww3_cpl_indices.f90,ku5,contains
ww3_cpl_indices.f90,kv5,contains
ww3_cpl_indices.f90,ku6,contains
ww3_cpl_indices.f90,kv6,contains
mo_setrxt.F90,k_rate,contains
mo_setrxt.F90,"theta, T",contains
mo_setrxt.F90,mix,contains
mo_setrxt.F90,ncols,contains
mo_setrxt.F90,nsub,contains
mo_setrxt.F90,theta_inv,contains
mo_setrxt.F90,expfac,contains
mo_setrxt.F90,kbottop,contains
mo_setrxt.F90,pvers,contains
mo_setrxt.F90,pcols,contains
mo_setrxt.F90,double precision,contains
mo_setrxt.F90,"$\left( \frac{1}{\theta} \right)_{i,j} = 1_{i,j} \times \Theta^{-1}_{i,j}$",encodes
mo_setrxt.F90,$n = n_{sub} = n_{col} \times p_{ver}$,encodes
mo_setrxt.F90,"$k_{rate,3}^{i,j} = 2.9 \times 10^{-12} \exp\left(-160 \times \left( \frac{1}{\theta} \right)_{i,j} \right)$",encodes
mo_setrxt.F90,"$k_{rate,5}^{i,j} = 9.6 \times 10^{-12} \exp\left(-234 \times \left( \frac{1}{\theta} \right)_{i,j} \right)$",encodes
mo_setrxt.F90,"$k_{rate,7}^{i,j} = 1.9 \times 10^{-13} \exp\left(520 \times \left( \frac{1}{\theta} \right)_{i,j} \right)$",encodes
cmue_a.F90,$a_1$,contains
cmue_a.F90,$a_2$,contains
cmue_a.F90,$a_3$,contains
cmue_a.F90,$a_4$,contains
cmue_a.F90,$a_5$,contains
cmue_a.F90,$\overline{T}_1$,contains
cmue_a.F90,$\overline{T}_2$,contains
