source,target,relationship,source_type,target_type
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:1,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10018,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10070,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10095,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10097,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10105,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10110,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10111,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10112,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10113,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10134,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:1016,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:1017,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10170,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10180,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10194,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10195,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10207,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10208,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10209,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10210,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10211,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10255,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10262,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10263,hasFile,System,File
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:0,4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:10266,hasFile,System,File
