id,label,type,description,unit,source_file
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23109,oxed{\delta f a c t o r = 2^{k_{mx h d 2}-k+1}},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23111,oxed{c o e f f i c i e n t = \frac{1}{1 + z_{dt} d m p r a t}},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23103,"oxed{d_{(i+1)_k} = \frac{d_{(i+1)_k}}{1 + z_{dt} h_{dif zd}(n+m-1, k)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23101,"oxed{d_{i_k} = \frac{d_{i_k}}{1 + z_{dt} h_{dif zd}(n+m-1, k)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:126,oxed{p} = \frac{\Delta p}{\Delta t},Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23099,"oxed{t_{(i+1)_k} = \frac{t_{(i+1)_k}}{1 + z_{dt} h_{dif tq}(n+m-1, k)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23097,"oxed{t_{i_k} = \frac{t_{i_k}}{1 + z_{dt} h_{dif tq}(n+m-1, k)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:128,oxed{u}_t = u + \frac{\partial u}{\partial t} dt,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23107,"oxed{v_{z (i+1)_k} = \frac{v_{z (i+1)_k}}{1 + z_{dt} h_{dif zd}(n+m-1, k)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:23105,"oxed{v_{z i_k} = \frac{v_{z i_k}}{1 + z_{dt} h_{dif zd}(n+m-1, k)}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:129,oxed{v}_t = v + \frac{\partial v}{\partial t} dt,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:127,oxed{x} = x_{n+1} - x_n,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:5089,rac{\partial smin_{NO3} }{\partial t} = trc \cdot nat / dt + \sum_{pn} dz \cdot pn,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:5017,rac{\partial^2 T}{\partial x^2} = -10\pi^2\sin(\pi x),Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:30145,# = COUNT(Δ > 1.0d-299)  # Count of elements where difference is greater than threshold value,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:32688,"$ H2OR_{inst}(lat,lev,lchnk) = \begin{cases}",Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31532,$ \displaystyle aquap\_option = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31524,$ \displaystyle decomp = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31530,$ \displaystyle force\_prognostic\_true = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31534,$ \displaystyle ocn\_present = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31536,$ \displaystyle ocn\_prognostic = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31537,$ \displaystyle ocnrof\_prognostic = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31526,$ \displaystyle restfilm = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:31528,$ \displaystyle restfils = \left\{,Equation,,,
4:23ad72d3-d4ec-4ad1-8fc9-e750bcb9f1cb:34035,"$ \frac{\text{Dist}_\text{A}(I)}{2} + \sum_{i=1}^{Gsize-1} \frac{\text{Dist}_\text{A}(i+1) - \text{Dist}_\text{A}(i)}{2} = N_\text{actual}, ~\forall I, ~1 \leq I \leq Gsize",Equation,,,
